Indiana Jones and the Last Crusade	1993
Indiana Jones and the Temple of Doom	1988
Infiltrator	1990
International Cricket	1992
Iron Tank	1988
Ironsword: Wizards &amp; Warriors II	1989
Isolated Warrior	1991
Ivan "Ironman" Stewart's Super Off Road	1990
Jack Nicklaus' Major Championship Golf	1990
Jackal	1988
Jackie Chan's Action Kung Fu	1990
James Bond Jr.	1992
Jaws	1987
Jeopardy!	1988
Jeopardy! 25th Silver Anniversary Edition	1990
Jeopardy! Junior Edition	1989
The Jetsons: Cogswell's Caper!	1992
Jimmy Connors Pro Tennis Tour	1993
Joe and Mac	1992
John Elway's Quarterback	1989
Jordan vs Bird: One on One	1989
Joshua &amp; the Battle of Jericho	1992
Journey to Silius	1990
Joust	1988
The Jungle Book	1994
Jurassic Park	1993
Kabuki Quantum Fighter	1991
Karate Champ	1986
The Karate Kid	1987
Karnov	1988
Kick Master	1992
Kick Off	1991
Kickle Cubicle	1990
Kid Icarus	1987
Kid Klown in Night Mayor World	1993
Kid Kool	1990
Kid Niki: Radical Ninja	1987
King Neptune's Adventure	1990
King of Kings	1988
King of Kings: The Early Years	1991
King's Knight	1989
Kings of the Beach	1990
King's Quest V	1992
Kirby's Adventure	1993
Kiwi Kraze	1991
Klash Ball	1991
Klax	1990
Knight Rider	1989
Konami Hyper Soccer	1992
Krazy Kreatures	1990
The Krion Conquest	1991
Krusty's Funhouse	1992
Kung Fu	1985
Kung Fu Heroes	1989
Laser Invasion	1991
Last Action Hero	1993
The Last Ninja	1991
The Last Starfighter	1990
Lee Trevino's Fighting Golf	1988
Legacy of the Wizard	1989
Legend of the Ghost Lion	1992
The Legend of Kage	1987
The Legend of Zelda	1987
Legendary Wings	1988
Legends of the Diamond	1992
The Legend of Prince Valiant	1992
Lemmings	1992
L'Empereur	1991
Lethal Weapon	1993
Life Force	1988
Linus Spacehead's Cosmic Crusade	1991
The Lion King	1994
Little League Baseball: Championship Series	1990
The Little Mermaid	1991
Little Nemo: The Dream Master	1990
Little Ninja Brothers	1990
Little Red Hood	1989
Little Samson	1992
Lode Runner	1987
The Lone Ranger	1991
Loopz	1990
Low G Man: The Low Gravity Man	1990
Lunar Pool	1987
M.C. Kids	1992
M.U.L.E.	1990
M.U.S.C.L.E.	1986
Mach Rider	1985
Mad Max	1990
The Mafat Conspiracy: Golgo 13 II	1990
Magic Darts	1991
Magic Johnson's Fast Break	1990
The Magic of Scheherazade	1989
Magician	1991
Magmax	1988
Major League Baseball	1988
Maniac Mansion	1990
Mappy-Land	1989
Marble Madness	1989
Mario Bros.	1986
Mario Is Missing!	1993
Mario's Time Machine	1994
Master Chu and the Drunkard Hu	1989
Maxi 15	1992
Mechanized Attack	1990
Mega Man	1987
Mega Man 2	1989
Mega Man 3	1990
Mega Man 4	1992
Mega Man 5	1992
Mega Man 6	1994
Menace Beach	1990
Mendel Palace	1990
Metal Fighter	1989
Metal Gear	1988
Metal Mech	1991
Metal Storm	1991
Metroid	1987
Michael Andretti's World GP	1990
Mickey Mousecapade	1988
Mickey's Adventures in Numberland	1994
Mickey's Safari in Letterland	1993
Micro Machines	1991
Mig 29 Soviet Fighter	1989
Might and Magic Book One: The Secret of the Inner Sanctum	1992
Mighty Bomb Jack	1987
Mighty Final Fight	1993
Mike Tyson's Punch-Out!!	1987
Millipede	1988
Milon's Secret Castle	1988
Miracle Piano	1990
Mission Cobra	1990
Mission: Impossible	1990
Monopoly	1991
Monster in My Pocket	1992
Monster Party	1989
Monster Truck Rally	1991
Moon Ranger	1990
Motor City Patrol	1992
Mr. Gimmick!	1993
Ms. Pac Man	1993
Muppet Adventure: Chaos at the Carnival	1990
The Mutant Virus: Crisis in a Computer World	1992
Mystery Quest	1989
NARC	1990
NES Open Tournament Golf	1991
NES Play Action Football	1990
New Ghostbusters II	1990
NFL Football	1989
Nigel Mansell's World Championship Racing	1993
A Nightmare on Elm Street	1989
Nightshade	1992
Ninja Crusaders	1990
Ninja Gaiden	1989
Ninja Gaiden II: The Dark Sword of Chaos	1990
Ninja Gaiden III: The Ancient Ship of Doom	1991
Ninja Kid	1986
Nintendo World Championships	1990
Nintendo World Cup	1990
Noah's Ark	1992
Nobunaga's Ambition	1989
Nobunaga's Ambition II	1991
North and South	1990
Operation Secret Storm	1991
Operation Wolf	1989
Orb-3D	1990
Othello	1988
Over Horizon	1991
Overlord	1993
P.O.W.: Prisoners of War	1989
Pac-Man	1993
Pac-Mania	1990
Palamedes	1990
Panic Restaurant	1992
Paperboy	1988
Paperboy 2	1992
Parasol Stars: The Story of Bubble Bobble III	1991
Parodius Da!	1992
Peek-A-Boo Poker	1991
Pesterminator	1990
Peter Pan and the Pirates	1991
Phantom Fighter	1990
Pictionary	1990
Pinball	1985
Pinball Quest	1990
Pinbot	1990
Pipe Dream	1990
Pirates!	1991
Platoon	1988
Popeye	1986
Power Blade	1991
Power Blade 2	1992
Power Punch II	1992
P'radikus Conflict	1990
Predator: Soon the Hunt Will Begin	1989
Prince of Persia	1992
Princess Tomato in the Salad Kingdom	1991
Pro Sport Hockey	1993
Pro Wrestling	1987
The Punisher	1990
Puss 'n Boots: Pero's Great Adventure	1990
Puzzle	1990
Puzznic	1990
Pyramid	1990
Q*bert	1989
Quarth	1990
Qix	1991
Quattro Adventure	1991
Quattro Arcade	1991
Quattro Sports	1991
RBI Baseball	1988
RBI Baseball 2	1990
RBI Baseball 3	1991
R.C. Pro-Am	1988
R.C. Pro-Am II	1992
Race America	1992
Racket Attack	1988
Rackets and Rivals	1993
Rad Racer	1987
Rad Racer II	1990
Rad Racket: Deluxe Tennis II	1991
Raid 2020	1989
Raid on Bungeling Bay	1987
Rainbow Islands	1991
Rally Bike	1990
Rambo	1988
Rampage	1988
Rampart	1992
Remote Control	1990
The Ren &amp; Stimpy Show: Buckaroo$	1993
Renegade	1988
Rescue: The Embassy Mission	1990
Ring King	1987
River City Ransom	1990
Road Fighter	1992
Road Runner	1989
RoadBlasters	1990
Prince of Thieves	1991
RoboCop	1989
RoboCop 2	1991
RoboCop 3	1992
Robodemons	1990
Robowarrior	1988
Rock 'n' Ball	1990
Rocket Ranger	1990
The Rocketeer	1991
Rockin' Kats	1991
Rodland	1993
Roger Clemens' MVP Baseball	1991
Rollerball	1990
Rollerblade Racer	1993
RollerGames	1990
Rolling Thunder	1988
Romance of the Three Kingdoms	1989
Romance of the Three Kingdoms II	1991
Roundball: 2 on 2 Challenge	1992
Rush'n Attack	1987
Rygar	1987
S.C.A.T.: Special Cybernetic Attack Team	1991
Secret Scout	1991
Section Z	1987
Seicross	1988
